iter	Passed	Remaining
829	1295	265
830	1298	263
831	1299	262
832	1300	260
833	1301	259
834	1302	257
835	1304	255
836	1305	254
837	1306	252
838	1307	250
839	1308	249
840	1310	247
841	1311	246
842	1312	244
843	1314	242
844	1315	241
845	1316	239
846	1317	238
847	1318	236
848	1320	234
849	1321	233
850	1322	231
851	1323	229
852	1324	228
853	1327	226
854	1328	225
855	1329	223
856	1330	222
857	1331	220
858	1333	218
859	1334	217
860	1335	215
861	1336	213
862	1337	212
863	1339	210
864	1340	209
865	1342	207
866	1343	206
867	1344	204
868	1345	202
869	1346	201
870	1347	199
871	1349	198
872	1350	196
873	1351	194
874	1353	193
875	1354	191
876	1357	190
877	1358	188
878	1359	187
879	1360	185
880	1361	183
881	1363	182
882	1364	180
883	1365	179
884	1366	177
885	1367	176
886	1369	174
887	1370	172
888	1371	171
889	1373	169
890	1374	168
891	1375	166
892	1376	164
893	1377	163
894	1378	161
895	1380	160
896	1381	158
897	1382	157
898	1383	155
899	1386	154
900	1387	152
901	1388	150
902	1389	149
903	1391	147
904	1392	146
905	1393	144
906	1394	142
907	1395	141
908	1397	139
909	1398	138
910	1399	136
911	1401	135
912	1403	133
913	1404	132
914	1405	130
915	1406	128
916	1407	127
917	1409	125
918	1410	124
919	1411	122
920	1412	121
921	1413	119
922	1416	118
923	1417	116
924	1418	115
925	1419	113
926	1420	111
927	1422	110
928	1423	108
929	1424	107
930	1425	105
931	1426	104
932	1427	102
933	1429	100
934	1431	99
935	1432	97
936	1433	96
937	1435	94
938	1436	93
939	1437	91
940	1438	90
941	1440	88
942	1441	87
943	1442	85
944	1443	84
945	1444	82
946	1447	81
947	1448	79
948	1449	77
949	1451	76
950	1452	74
951	1453	73
952	1454	71
953	1455	70
954	1456	68
955	1458	67
956	1459	65
957	1460	64
958	1462	62
959	1464	61
960	1465	59
961	1466	57
962	1467	56
963	1468	54
964	1470	53
965	1471	51
966	1472	50
967	1473	48
968	1474	47
969	1476	45
970	1478	44
971	1479	42
972	1480	41
973	1481	39
974	1483	38
975	1484	36
976	1485	34
977	1486	33
978	1487	31
979	1489	30
980	1490	28
981	1492	27
982	1493	25
983	1494	24
984	1496	22
985	1497	21
986	1498	19
987	1499	18
988	1500	16
989	1502	15
990	1503	13
991	1504	12
992	1505	10
993	1507	9
994	1509	7
995	1510	6
996	1511	4
997	1512	3
998	1514	1
999	1515	0
